item_id,delta
276184,39
784476,56
221942,95
534151,63
496565,89
632557,21
116971,73
464072,38
933534,85
679515,59
455674,40
61734,66
33327,63
220393,32
213488,76
572093,100
216882,4
712527,37
823928,49
897547,55
43065,41
134629,56
787626,35
482663,89
208803,34
84492,23
578479,83
166932,36
276808,35
702730,31
640968,38
568970,19
923654,7
784257,3
902593,28
763588,50
596751,32
192402,95
420652,37
701475,7
771477,67
927768,50
995741,62
921407,97
992949,83
999745,10
387152,74
702449,27
72793,96
778481,6
984862,10
353895,27
76820,59
397888,51
665047,67
45562,12
322452,66
288390,91
665823,30
889546,23
177935,10
130680,43
25991,35
635325,97
663687,29
199123,16
514014,3
856254,52
208574,69
777992,40
415923,99
332712,43
366961,1
15475,69
190557,47
145096,26
206607,26
695206,69
442418,72
784310,69
685198,45
9768,4
120117,63
59643,64
894142,52
233239,39
571859,15
213488,34
672098,3
200897,43
67137,91
419094,82
63557,77
219685,37
765991,44
221232,13
277313,78
879996,23
199313,12
985938,1
531757,62
879996,82
754718,56
606795,31
820653,89
229259,98
496565,-36
132353,4
230081,50
25991,16
617890,11
260223,88
941424,10
238652,24
170556,61
723379,33
783827,83
844152,18
443556,68
936022,85
546623,18
379581,48
783827,16
230915,34
464657,77
88026,99
974231,83
695206,48
162999,96
337903,92
731077,55
15475,3
352458,54
715199,49
278083,100
63919,75
875468,50
894344,53
563055,19
743216,23
699288,98
248238,23
10140,48
683824,73
784257,16
297572,50
463247,28
126883,32
117302,6
65291,88
665823,-27
603767,89
481742,36
408397,26
487624,59
245885,77
120945,11
40606,12
337903,95
170556,67
556927,61
283061,93
317213,43
619177,9
409387,54
461240,19
74442,82
874629,45
903683,93
896866,23
935519,78
564608,99
89815,65
556117,79
116740,88
651518,100
488558,82
729309,1
934885,6
298831,41
564608,25
713329,11
650811,67
170396,16
104838,41
592684,81
752471,14
941436,92
112236,3
936407,28
221942,8
388163,81
700306,37
894142,54
732053,85
508137,81
240175,71
223509,62
862277,58
67137,-18
95326,36
391560,71
346480,86
199660,1
240063,97
936022,-6
967243,5
977018,47
612555,19
825623,16
172635,57
608793,67
508994,96
660357,16
791938,82
772247,29
