item_id,final_frequency
426,0
600,0
1774,0
2261,0
3403,0
3718,0
5815,0
6183,0
6815,304
7541,0
8204,0
9768,0
10140,0
12039,0
13267,0
15475,0
20325,0
20423,0
20481,0
21370,0
22057,0
24814,0
25612,0
25991,0
26226,29
26926,0
27825,218
28277,0
28419,0
28942,0
30435,0
31245,71
32538,0
32939,0
33327,244
33660,0
37779,0
40116,0
40606,0
41673,0
41833,0
42214,0
43065,0
43861,0
45562,5
46229,0
46543,0
48051,122
48459,0
49406,0
52579,0
52658,0
52728,0
53046,0
53267,0
54616,0
56803,0
58656,0
59643,0
59943,0
60739,0
61325,0
61484,0
61734,0
63557,0
63919,0
65291,0
66614,0
67137,0
67349,0
69404,0
70675,0
71263,0
71850,0
71952,0
72133,0
72307,0
72575,0
72793,0
72934,79
73373,0
74300,0
74442,0
74871,0
76067,0
76366,0
76820,0
78899,0
79047,0
79689,0
81248,0
82583,0
82628,145
83668,38
84003,0
84492,0
85885,0
85966,0
88026,0
88915,0
89815,0
91162,61
95326,0
96782,0
97252,62
97794,0
97924,0
98247,176
98908,0
101415,8
101640,0
102665,0
103199,0
104838,0
105908,79
106852,0
107176,11
107474,73
107787,0
108619,0
110666,0
111580,0
111765,0
112236,0
113347,0
113350,0
113669,0
114577,0
114976,0
116740,30
116971,0
117302,0
117309,0
119947,0
120097,0
120117,0
120945,0
121036,0
121264,0
125711,0
126883,0
126936,0
127254,0
130680,0
130890,58
131870,0
132353,0
133471,0
133637,0
133828,0
134629,0
137175,0
137236,0
138740,0
138891,0
139817,0
140815,0
142292,0
145052,0
145096,0
146317,10
146414,0
146992,0
149812,0
154512,0
154740,0
155288,0
156295,0
158158,0
159785,0
160228,0
160264,0
160266,0
160423,0
162061,0
162317,0
162999,0
163033,180
165081,0
165410,0
165841,0
166890,0
166932,0
167415,83
167754,0
169397,0
169431,0
170396,0
170556,114
171340,0
171721,0
172635,0
173062,0
173149,0
174390,0
175940,0
177935,0
179452,0
182481,0
184431,0
184693,0
185653,0
187242,0
187331,0
188074,0
190557,0
192402,0
194852,0
199123,0
199313,0
199449,0
199660,0
200897,0
201159,0
201630,86
202512,0
203881,0
206607,0
207964,0
